Package Name,Version,License (SPDX),Permissive?,Source,Dependency Type,Repository URL,Description,Notes
dialect-nvvm,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,NVVM dialect for pliron MLIR framework (NVIDIA GPU intrinsics),
dissimilar,1.0.10,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/dissimilar,"Diff library with semantic cleanup, based on Google's diff-match-patch",Dev-dependency only: used by expect-test.
downcast-rs,2.0.2,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/marcianx/downcast-rs,"Trait object downcasting support using only safe Rust. It supports type parameters, associated types, and type constraints.",
dyn-clone,1.0.20,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/dyn-clone,Clone trait that is dyn-compatible,
either,1.15.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rayon-rs/either,The enum `Either` with variants `Left` and `Right` is a general purpose sum type with two cases.,
expect-test,1.5.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-analyzer/expect-test,Minimalistic snapshot testing library,Dev-dependency only: used in llvm-export tests.
glob,0.3.3,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/glob,Support for matching file paths against Unix shell style patterns.,
half,2.7.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/VoidStarKat/half-rs,Half-precision floating point f16 and bf16 types for Rust implementing the IEEE 754-2008 standard binary16 and bfloat16 types.,Half-precision float types (f16/bf16). Core type used throughout for GPU compute.
itertools,0.13.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-itertools/itertools,"Extra iterator adaptors, iterator methods, free functions, and macros.",
libc,0.2.180,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/libc,Raw FFI bindings to platform libraries like libc.,
libloading,0.8.9,ISC,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/nagisa/rust_libloading/,Bindings around the platform's dynamic library loading primitives with greatly improved memory safety.,Dynamic library loading for CUDA driver API.
libmathdx-sys,0.1.0,Apache-2.0,Yes,local (example),NVIDIA Proprietary (example),https://github.com/NVlabs/cuda-oxide.git,Raw FFI bindings to NVIDIA libmathdx (runtime code-generation for MathDx),In mathdx_ffi_test example; not a workspace member.
linkme,0.3.35,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/linkme,Safe cross-platform linker shenanigans,
linkme-impl,0.3.35,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/linkme,Implementation detail of the linkme crate,
log,0.4.29,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/log,A lightweight logging facade for Rust,
memchr,2.7.6,Unlicense OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/BurntSushi/memchr,"Provides extremely fast (uses SIMD on x86_64, aarch64 and wasm32) routines for 1, 2 or 3 byte search and single substring search.",
minimal-lexical,0.2.1,MIT/Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/Alexhuszagh/minimal-lexical,Fast float parsing conversion routines.,
mir-importer,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,Rust MIR to pliron MLIR translation and compilation pipeline,
mir-lower,0.1.0,Apache-2.0,Yes,local (workspace),NVIDIA Proprietary (workspace),https://github.com/NVlabs/cuda-oxide.git,MIR dialect to LLVM dialect lowering pass,
nom,7.1.3,MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/Geal/nom,"A byte-oriented, zero-copy, parser combinators library",
once_cell,1.21.3,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/matklad/once_cell,Single assignment cells and lazy values.,
pliron,0.12.0,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/vaivaswatha/pliron,Programming Languages Intermediate RepresentatiON,"Primary dependency: MLIR-inspired IR framework. Custom MLIR dialects (MIR, LLVM, NVVM) built on this."
pliron-derive,0.12.0,Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/vaivaswatha/pliron,LLVM Dialect for pliron,Proc-macro companion to pliron.
prettyplease,0.2.37,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/prettyplease,A minimal `syn` syntax tree pretty-printer,
proc-macro2,1.0.106,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/proc-macro2,A substitute implementation of the compiler's `proc_macro` API to decouple token-based libraries from the procedural macro use case.,
quote,1.0.44,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/quote,Quasi-quoting macro quote!(...),
recasting,0.2.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/recasting,traits for one-to-one recasting of values in data structures,
regex,1.12.2,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/regex,An implementation of regular expressions for Rust. This implementation uses finite automata and guarantees linear time matching on all inputs.,
regex-automata,0.4.13,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/regex,Automata construction and matching using regular expressions.,
regex-syntax,0.8.8,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/regex,A regular expression parser.,
rustc-hash,2.1.1,Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/rustc-hash,"A speedy, non-cryptographic hashing algorithm used by rustc",
rustc_apfloat,0.2.3+llvm-462a31f5a5ab,Apache-2.0 WITH LLVM-exception,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/rust-lang/rustc_apfloat,Rust port of C++ llvm::APFloat library,Apache-2.0 WITH LLVM-exception is a permissive license (the LLVM exception relaxes patent clauses).
shlex,1.3.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/comex/rust-shlex,"Split a string into shell words, like Python's shlex.",
slotmap,1.1.1,Zlib,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/orlp/slotmap,Slotmap data structure,
smallvec,1.15.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/servo/rust-smallvec,'Small vector' optimization: store up to a small number of items on the stack,
syn,2.0.114,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/syn,Parser for Rust source code,
thiserror,2.0.18,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/thiserror,derive(Error),
thiserror-impl,2.0.18,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/thiserror,Implementation detail of the `thiserror` crate,
triple_arena,0.14.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/AaronKutch/triple_arena,"Regular, Chain, Surjection, and Ordered Arenas supporting non-Clone types, deletion, and more",
unicode-ident,1.0.22,(MIT OR Apache-2.0) AND Unicode-3.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/dtolnay/unicode-ident,Determine whether characters have the XID_Start or XID_Continue properties according to Unicode Standard Annex #31,
unicode-segmentation,1.12.0,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/unicode-rs/unicode-segmentation,"This crate provides Grapheme Cluster, Word and Sentence boundaries according to Unicode Standard Annex #29 rules.",
utf8-chars,3.0.6,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/A1-Triard/utf8-chars,Char-by-char iterator and `read_char` method for `BufRead`.,
version_check,0.9.5,MIT/Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/SergioBenitez/version_check,Tiny crate to check the version of the installed/running rustc.,
windows-link,0.2.1,MIT OR Apache-2.0,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/microsoft/windows-rs,Linking for Windows,"Platform-conditional: only compiled for Windows targets, never on Linux. Pulled in by libloading."
zerocopy,0.8.34,BSD-2-Clause OR Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/google/zerocopy,"Zerocopy makes zero-cost memory manipulation effortless. We write ""unsafe"" so you don't have to.",
zerocopy-derive,0.8.34,BSD-2-Clause OR Apache-2.0 OR MIT,Yes,registry+https://github.com/rust-lang/crates.io-index,3rd Party (crates.io),https://github.com/google/zerocopy,Custom derive for traits from the zerocopy crate,
